comment,Annot,Number of Comment
pues que se imagine ahora despus de la docuserie x lo que estn pasando sus hijos se nota que les importa una -|- pero si os dais cuenta del maltrato que solo habla es de las demandas de revisin de convenio pero ser jaaaa eso es lo que hace cualquier pareja q se separa cuando no se est de acuerdo y ella no quera ni pagar madre mia de verdad q est para un siquiatra  y luego habla de su hijapero donde est el maltrato de ad entonces que ha hecho ella en la docuserie entonces que hace antonio david denunciarla x maltrato tambien -|- ,RIGHT,2
last week i tried to order 60 iverctemin tablets i cannot get it without a prescription and the post office in brazil needs to check with uk  weather i can have the iverctemin shipped to me  -|- absolutely right harris   -|- ,RIGHT,2
lmfao fu dems -|- cnn sissys -|- he got a kick back all criminals -|- cooper takes it deep -|- freak show -|- biden has some balls -|- polydent works -|- american hero -|- lmfao -|- thanks fauci -|- bowlegged jill what a hillbilly -|- have an id vote dont cannot vote -|- crying black -|- big deal -|- a felon remember that -|- so who really cares -|- guilty or riots who won -|- 27 million  they will take the trade for sure -|- another gay mayor -|- when she was done you know she immediately got a fix -|- adjust that wig -|- ,RIGHT,21
this is benghazi all over again the afghans who have assisted our soldiers over the years are being left behind to be tortured and murdered  its an abomination outrageous -|- go away chris -|- its all about the few and not the many  -|- ,RIGHT,3
protest riot -|- ,RIGHT,1
great take down from the legend that is hannity -|- tucker you legend -|- these people are making people unsafe everyone without a mask in this video should be arrested immediately -|- something is afoot -|- ,RIGHT,4
trump never said anything about august he did say that he will work on 2022 to get back the house and senate that is all from him for now -|- ,RIGHT,1
wow they got to him too -|- one thing is for sure the actual truth will never be reported period -|- ,RIGHT,2
sorry but where is the laugh button -|- ,RIGHT,1
wipe that smirk off your face -|- thank you maria for your report i cant believe president biden and vice president harris just shut their eyes and let this happen its time for america to do something about this -|- ,RIGHT,2
thank you steve for all you do please keep up fighting the good fight -|- reair this over and over and over and over and over until they get it  -|- love it simply love it  -|- lip service only you know nothing about it and are powerless to stop it -|- a boatload of bull tihs -|- round and round she goeswhere she lands nobody knows -|- john kerry walks into a bar the bartender says why the long face -|- yes but what about condoms -|- free you makes work -|- it would seem that their home owners association is going to have a little something to say about the noise -|- stifflers mom -|- love is in the air everywhere i look aroundlove is in the air every sight and every soundand i do not know if i am being foolishdont know if i am being wisebut it is something that i must believe inand it is there when i look in your eyeslove is in the air in the whisper of the treelove is in the air in the thunder of the seaand i do not know if i am just dreamingdont know if i feel safebut it is something that i must believe inand it is there when you call out my namelove is in the airlove is in the airoh oh oh ohlove is in the air in the rising of the sunlove is in the air when the day is nearly doneand i do not know if you are illusiondont know if i see truthbut you are something that i must believe inand you are there when i reach out for youlove is in the air everywhere i look aroundlove is in the air every sight and every soundand i do not know if i am being foolishdont know if i am being wisebut it is something that i must believe inand it is there when i look in your eyeslove is in the airlove is in the airoh oh oh ohoh love is in the airlove is in the airloves is in the airloves is in the airlove is in the air -|- there is a little something called freedom of the press by law reporters and camera crews can go where they like republicans come to the table and discuss voting oh that is rich -|- censured again -|- joke liedin -|- liedins latinos -|- raises hand ohh ohh oh me me i know -|- there is absolutely no reason why everyone is lawn cannot be immaculate this year -|- all of my posts are being censured -|- good drugs are getting cheaper by the day just saying  -|- looks like a mostly pieceful riot to me dunno what the problem is -|- the price per key just went waaaay down -|- a 15 year old in a 4th grade level that is perfect ohhh my but drugs just got sooooo much cheaper -|- wait -|- not impressed with this guy -|- hey fox why are comments turned off for the joey liedin illegal covid carravan video -|- shut them down -|- juan williams liedin giving everyone hope -|- cannot pass a 15 dollar min wage after all the campaign trail bs dats some funny tish -|-   to the wizard of oz tune   -|- yadda yadda dog and pony show -|- carley shimkus is brittany spears -|- scumbag theaternothing more -|- the loss of jobs will not come from this bill not being passed the massive loss of jobs is coming from joe liedin -|- my dead grandparents are quite happy with the outcome the election -|- it is beginning to look alot like china everywhere we go -|- where is the crack pipe kids laptop -|- patient to dr  how long will this pandemic last -|- that catchy wizard of oz song comes to mind if he only had a brain -|- liedin -|- the transfer of a social media account makes it official -|- sickening -|- empty worthless rhetoric -|- a huge pile of redundant protoplasm -|- a two step plan of theft and criminal corruption unlike my crack pipe kids 12 step program that is failing miserably -|- without the actions of our dedicated and patriotic citizens there will be no change -|- the healer omghurl -|- stop reporting about how terrible big tech is we know this -|- hell yea -|- shut them down immediately -|- my that was thorough find any pollops up there -|- this is ridiculous propaganda -|- seems to me that the oil will still be moved by rail and warren buffett owns the railroads hmmm just maybe there is a connection -|- shut them down immediately -|- ,RIGHT,54
in order to have a banana republic you need plenty of bananas  and we sure have them now -|- it is jimmy carter all over again only this time it is corruption versus incompetence -|- the media will turn on elder and treat him as uncle tom  just wait and see it is coming without question they did the same to john james in michigan when he ran for us senate in fact it was so bad for james that i heard him say on a radio program that a detroit tv station came to interview him and did not bring cameras they did not want detroit people to know james was black so they just ran audio clips think about that -|- god is in charge these people will face the ultimate justice it is sooner than most are prepared for that includes me and you -|- i did not watch a single nfl or nba game for the past 18 months i am now turning the mlb and nhl off as well doubt i shall pay much attention to the olympics as that is now infected as well just turn them off all of them stop watching and see how the pocketbook rules it is an easy only mildly inconvenient act of disobedience so  just do it -|- how much more folks seriously  how much more forever -|- rules for thee  not for me this is the modern democrat party in america -|- hey arnold screw your films -|- ,RIGHT,8
he called the guy a kool aid drinker for his support for trumpyeah theres your tolerance -|- ,RIGHT,1
what fucking crime is swearing -|- i did not take the poll and i want him convicted -|- ,RIGHT,2
talk about the people your brother killed in new york -|- ,RIGHT,1
omg the moment fauci spoke i busted out laughing i dont understand -|- ,RIGHT,1